epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.9017,0.62912,0.7551,1,0.45105,0.00040008,0.00040008,0.00040008
2,36.5231,0.49672,0.87755,1,0.37598,0.000800657,0.000800657,0.000800657
3,49.9445,0.46204,0.7551,1,0.62207,0.00118473,0.00118473,0.00118473
4,62.6726,0.50553,0.58163,1,0.71606,0.0015523,0.0015523,0.0015523
5,76.3194,0.5107,0.70408,1,0.72681,0.00153497,0.00153497,0.00153497
6,90.0196,0.50381,0.69388,1,1.19678,0.00150197,0.00150197,0.00150197
7,104.525,0.492,0.84694,1,0.35413,0.00146896,0.00146896,0.00146896
8,118.918,0.46524,0.80612,1,0.50269,0.00143595,0.00143595,0.00143595
9,133.07,0.43229,0.86735,1,0.3457,0.00140295,0.00140295,0.00140295
10,146.872,0.38784,0.87755,1,0.32715,0.00136994,0.00136994,0.00136994
11,160.131,0.43991,0.89796,1,0.28979,0.00133693,0.00133693,0.00133693
12,172.811,0.37959,0.94898,1,0.23621,0.00130393,0.00130393,0.00130393
13,185.122,0.37039,0.87755,1,0.29199,0.00127092,0.00127092,0.00127092
14,198.623,0.31302,0.91837,1,0.18475,0.00123791,0.00123791,0.00123791
15,212.21,0.28158,0.94898,1,0.16321,0.00120491,0.00120491,0.00120491
16,225.588,0.32514,0.90816,1,0.2608,0.0011719,0.0011719,0.0011719
17,239.215,0.35002,0.90816,1,0.26178,0.00113889,0.00113889,0.00113889
18,251.095,0.28033,0.90816,1,0.22504,0.00110589,0.00110589,0.00110589
19,263.339,0.24372,0.91837,1,0.2099,0.00107288,0.00107288,0.00107288
20,276.667,0.26206,0.91837,1,0.19809,0.00103987,0.00103987,0.00103987
21,290.712,0.26208,0.92857,1,0.202,0.00100687,0.00100687,0.00100687
22,304.458,0.24461,0.91837,1,0.21649,0.000973861,0.000973861,0.000973861
